Campo,Valores Distintos
data_hora,"2024-08-11 17:23:34.140000, 2024-12-12 13:26:32.189000, 2024-12-13 00:42:50.615000, 2024-12-13 00:46:34.204000, 2024-12-13 00:50:20.504000, 2024-12-13 00:54:13.078000, 2024-12-13 00:58:01.704000, 2024-12-13 01:01:48.896000, 2024-12-13 01:05:33.860000, 2024-12-13 01:09:26.061000, 2024-12-13 01:13:12.049000"
hostname,DESKTOP-2G425B8
nome_fusao,prophet_forecasting
prophet_params,"{'periods': 24, 'freq': 'H'}"
quantidade_dados_utilizados,"75865, 77011"
tempo_armazenamento_segundos,"1.182989, 1.240327, 1.262322, 1.284501, 1.298191, 1.38468, 1.405938, 1.415863, 1.452201, 1.52342, 1.634473"
tempo_fusao_segundos,"220.203677, 221.742464, 222.629357, 222.781116, 223.062332, 224.042886, 224.048327, 225.474533, 228.807871, 229.077529, 264.204967"
tipo_fusao,temporal
