n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.008017457665513377,0.00011254819697900173,0.1788675131243186,0.05449395464996705
50,5,2,2,squared_error,False,0.01267786564880422,0.002371653771770706,-16.303182209000703,0.05514278539840545
50,5,2,5,squared_error,True,0.007719930357559496,0.00010311877856671695,0.2476629447571801,0.054485949392439545
50,5,2,5,squared_error,False,0.01267786564880422,0.002371653771770706,-16.303182209000703,0.05514541298792536
50,5,2,10,squared_error,True,0.007670484947759644,0.00010355623089227421,0.24447136705432804,0.054474885978051515
50,5,2,10,squared_error,False,0.012227950216989716,0.002011415229764772,-13.674943127383159,0.05483114998059624
50,5,4,2,squared_error,True,0.00755539967073715,0.0001003028467486433,0.26820750396569926,0.05321258873067295
50,5,4,2,squared_error,False,0.012180082330135024,0.0011967285214733437,-7.731127582042051,0.05333432798154847
50,5,4,5,squared_error,True,0.00755539967073715,0.0001003028467486433,0.26820750396569926,0.05321258873067295
50,5,4,5,squared_error,False,0.012180082330135024,0.0011967285214733437,-7.731127582042051,0.05333432798154847
50,5,4,10,squared_error,True,0.007618031377987856,0.00010240754238184572,0.252852002893298,0.05323853545821289
50,5,4,10,squared_error,False,0.012180082330135024,0.0011967285214733437,-7.731127582042051,0.05333432798154847
50,5,6,2,squared_error,True,0.007570350070403158,9.983669383381236e-05,0.27160847628239393,0.0527703169768476
50,5,6,2,squared_error,False,0.012095068169987193,0.0009101580153881748,-5.640357950513971,0.05485578145309768
50,5,6,5,squared_error,True,0.007570350070403158,9.983669383381236e-05,0.27160847628239393,0.0527703169768476
50,5,6,5,squared_error,False,0.012095068169987193,0.0009101580153881748,-5.640357950513971,0.05485578145309768
50,5,6,10,squared_error,True,0.007570350070403158,9.983669383381236e-05,0.27160847628239393,0.0527703169768476
50,5,6,10,squared_error,False,0.012095068169987193,0.0009101580153881748,-5.640357950513971,0.05485578145309768
50,10,2,2,squared_error,True,0.006538516289306301,0.00015056188102106707,-0.09847385484616256,0.06469774238860085
50,10,2,2,squared_error,False,0.011003878807725546,0.002458971107251945,-16.940234625259713,0.0773044297188343
50,10,2,5,squared_error,True,0.0060344196746111075,0.00012195581589019177,0.1102311269406695,0.06477816046957365
50,10,2,5,squared_error,False,0.01092274290168465,0.00238528764106518,-16.402652598576097,0.07742438897215213
50,10,2,10,squared_error,True,0.00641362461122042,0.0001424430357530702,-0.03924014178443369,0.06396565775708604
50,10,2,10,squared_error,False,0.011332572789293343,0.002156889196642936,-14.736296426722319,0.07554552483659951
50,10,4,2,squared_error,True,0.006273207452560689,0.00013281438565766518,0.031008850294673596,0.060853392491804235
50,10,4,2,squared_error,False,0.010371420996969322,0.001247198011325164,-8.099344388936826,0.07312834018665386
50,10,4,5,squared_error,True,0.006273207452560689,0.00013281438565766518,0.031008850294673596,0.060853392491804235
50,10,4,5,squared_error,False,0.010371420996969322,0.001247198011325164,-8.099344388936826,0.07312834018665386
50,10,4,10,squared_error,True,0.00620930868929376,0.00013406680697729544,0.021871397537469583,0.0604988824495513
50,10,4,10,squared_error,False,0.010321358115747619,0.0012462633368023246,-8.09252516272122,0.07299039547016659
50,10,6,2,squared_error,True,0.006250893503840406,0.00013831933683167329,-0.009154336402007468,0.05877369859954159
50,10,6,2,squared_error,False,0.010048682839993267,0.0008667314613490084,-5.323525204439195,0.06361980451611497
50,10,6,5,squared_error,True,0.006250893503840406,0.00013831933683167329,-0.009154336402007468,0.05877369859954159
50,10,6,5,squared_error,False,0.010048682839993267,0.0008667314613490084,-5.323525204439195,0.06361980451611497
50,10,6,10,squared_error,True,0.006250893503840406,0.00013831933683167329,-0.009154336402007468,0.05877369859954159
50,10,6,10,squared_error,False,0.010048682839993267,0.0008667314613490084,-5.323525204439195,0.06361980451611497
50,20,2,2,squared_error,True,0.006329443409598065,0.00014729083502971438,-0.0746088601002648,0.0656780424985902
50,20,2,2,squared_error,False,0.010183380443969343,0.002452313880450621,-16.89166463172986,0.07749897869365914
50,20,2,5,squared_error,True,0.006320903867371482,0.00015248477048163304,-0.11250292903058656,0.06500186716366703
50,20,2,5,squared_error,False,0.01012011159970246,0.0023784533243380165,-16.352790587092088,0.07723940298418866
50,20,2,10,squared_error,True,0.006663576765699199,0.0001663184406117755,-0.21343103149233444,0.06440921653545996
50,20,2,10,squared_error,False,0.010549942990136122,0.0021495148189558983,-14.682494222405818,0.0751099625004365
