n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.03286143625621186,0.0520738380706017,0.34639874476518184,0.10413237776936754
50,5,2,2,squared_error,False,0.0390667849707621,0.07054807734875863,0.11452058042974811,0.09117649156473515
50,5,2,5,squared_error,True,0.033122375184812466,0.05236489431776603,0.3427455719717223,0.10741103961274556
50,5,2,5,squared_error,False,0.0390667849707621,0.07054807734875863,0.11452058042974811,0.0960465031560582
50,5,2,10,squared_error,True,0.034273754954969524,0.05335525640050209,0.33031510929801566,0.12080737271791073
50,5,2,10,squared_error,False,0.0390667849707621,0.07054807734875863,0.11452058042974811,0.11763444376432668
50,5,4,2,squared_error,True,0.03189871437540548,0.05391356168780581,0.3233075782592779,0.11882492283188387
50,5,4,2,squared_error,False,0.03968382199813936,0.07214126874816709,0.09452374637517202,0.11973525377129512
50,5,4,5,squared_error,True,0.03189871437540548,0.05391356168780581,0.3233075782592779,0.11882492283188387
50,5,4,5,squared_error,False,0.03968382199813936,0.07214126874816709,0.09452374637517202,0.11973525377129512
50,5,4,10,squared_error,True,0.03232778622258675,0.05444259083895259,0.3166675046626948,0.12123524011388416
50,5,4,10,squared_error,False,0.03968382199813936,0.07214126874816709,0.09452374637517202,0.1211911239484768
50,5,6,2,squared_error,True,0.03350561514570039,0.05709464541083946,0.2833804211412848,0.12240673046863541
50,5,6,2,squared_error,False,0.0405813861815053,0.07366567459440217,0.07539026953723116,0.11414664699461623
50,5,6,5,squared_error,True,0.03350561514570039,0.05709464541083946,0.2833804211412848,0.12240673046863541
50,5,6,5,squared_error,False,0.0405813861815053,0.07366567459440217,0.07539026953723116,0.11414664699461623
50,5,6,10,squared_error,True,0.03350561514570039,0.05709464541083946,0.2833804211412848,0.12240673046863541
50,5,6,10,squared_error,False,0.0405813861815053,0.07366567459440217,0.07539026953723116,0.11414664699461623
