n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.03501587463369456,0.05317074785938916,0.3326309557679734,0.11078958525899829
50,5,2,2,squared_error,False,0.04456412976488367,0.06260470922664055,0.21422122796737686,0.09325899970816151
50,5,2,5,squared_error,True,0.03577161856154226,0.05382127035866956,0.3244659666325136,0.114682963790988
50,5,2,5,squared_error,False,0.04456412976488367,0.06260470922664055,0.21422122796737686,0.09602515304480665
50,5,2,10,squared_error,True,0.03650604813003297,0.05524949302440232,0.3065397264769075,0.125838717370531
50,5,2,10,squared_error,False,0.04456412976488367,0.06260470922664055,0.21422122796737686,0.10705459279752509
50,5,4,2,squared_error,True,0.03535480762239201,0.05615910205000369,0.29512283033608677,0.12154619220484102
50,5,4,2,squared_error,False,0.04435612524377369,0.06714178581427291,0.1572744181556539,0.11105253341850263
50,5,4,5,squared_error,True,0.03535480762239201,0.05615910205000369,0.29512283033608677,0.12154619220484102
50,5,4,5,squared_error,False,0.04435612524377369,0.06714178581427291,0.1572744181556539,0.11105253341850263
50,5,4,10,squared_error,True,0.035613941937858204,0.056767615807560186,0.287485111080069,0.12414694939117318
50,5,4,10,squared_error,False,0.04435612524377369,0.06714178581427291,0.1572744181556539,0.11105253341850263
50,5,6,2,squared_error,True,0.03677124772065934,0.05929401264071933,0.25577521216431576,0.12907752068122738
50,5,6,2,squared_error,False,0.04435612524377369,0.06714178581427291,0.1572744181556539,0.12574224455817173
50,5,6,5,squared_error,True,0.03677124772065934,0.05929401264071933,0.25577521216431576,0.12907752068122738
50,5,6,5,squared_error,False,0.04435612524377369,0.06714178581427291,0.1572744181556539,0.12574224455817173
50,5,6,10,squared_error,True,0.03677124772065934,0.05929401264071933,0.25577521216431576,0.12907752068122738
50,5,6,10,squared_error,False,0.04435612524377369,0.06714178581427291,0.1572744181556539,0.12574224455817173
50,10,2,2,squared_error,True,0.023313806475333064,0.034618155241510934,0.5654925667455435,0.09416016338128586
50,10,2,2,squared_error,False,0.0164503808546108,0.03554108370422204,0.553908492591031,0.06287087706086776
50,10,2,5,squared_error,True,0.024685222024041192,0.036371472905022795,0.5434859187211935,0.09998239182277072
50,10,2,5,squared_error,False,0.016526435985706092,0.035550130101259916,0.5537949473506881,0.06681566262139102
50,10,2,10,squared_error,True,0.029651368881131308,0.04653855839659563,0.41587443307724836,0.11670443924234672
50,10,2,10,squared_error,False,0.02019933029338693,0.03784555296273363,0.524984102612879,0.0853871920399587
50,10,4,2,squared_error,True,0.030198957280312248,0.05006666946298384,0.37159158573896034,0.11484463817375415
50,10,4,2,squared_error,False,0.02538804765365259,0.0467147791841795,0.4136626097849623,0.09264019762435502
50,10,4,5,squared_error,True,0.030198957280312248,0.05006666946298384,0.37159158573896034,0.11484463817375415
50,10,4,5,squared_error,False,0.02538804765365259,0.0467147791841795,0.4136626097849623,0.09264019762435502
50,10,4,10,squared_error,True,0.030809599378525156,0.051684127761695245,0.3512901673396782,0.11829096892289195
50,10,4,10,squared_error,False,0.024458476497007196,0.0474237648913916,0.4047638236507599,0.0930348973796493
50,10,6,2,squared_error,True,0.03258590390814247,0.05554200372200478,0.30286829824718153,0.12570884644039115
50,10,6,2,squared_error,False,0.026723766771801705,0.05303822684794222,0.3342942842767974,0.11651587716303861
50,10,6,5,squared_error,True,0.03258590390814247,0.05554200372200478,0.30286829824718153,0.12570884644039115
50,10,6,5,squared_error,False,0.026723766771801705,0.05303822684794222,0.3342942842767974,0.11651587716303861
50,10,6,10,squared_error,True,0.03258590390814247,0.05554200372200478,0.30286829824718153,0.12570884644039115
50,10,6,10,squared_error,False,0.026723766771801705,0.05303822684794222,0.3342942842767974,0.11651587716303861
50,20,2,2,squared_error,True,0.023448115801390907,0.034820017132782696,0.5629589108751922,0.0939309072583761
50,20,2,2,squared_error,False,0.01600388161086851,0.03551910334788936,0.5541843775463531,0.0631686614781697
50,20,2,5,squared_error,True,0.02465079407088141,0.03648192724072471,0.5420995585999553,0.09937945315115052
50,20,2,5,squared_error,False,0.016011644832605535,0.035524728772440554,0.5541137704107142,0.06587668156979631
50,20,2,10,squared_error,True,0.02943378820005897,0.046461160923452496,0.41684588222470254,0.11643811143338925
