n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.03473971286678128,0.05574874845699677,0.3002733556942485,0.10551021834751699
50,5,2,2,squared_error,False,0.04262207419025024,0.07199893462363913,0.09631024350887851,0.08379551379340201
50,5,2,5,squared_error,True,0.035281877743032965,0.056545518707657706,0.2902727478024375,0.1089362319969954
50,5,2,5,squared_error,False,0.042562103302331754,0.07186717858288222,0.09796397053984429,0.08880395890020779
50,5,2,10,squared_error,True,0.03610506091599781,0.05709448182891113,0.2833824743287904,0.122093221625829
50,5,2,10,squared_error,False,0.04268204507816872,0.07213316146497828,0.0946255043915788,0.11077650970095528
50,5,4,2,squared_error,True,0.03439075573120284,0.056257526582983455,0.29388746146978095,0.11914350881711988
50,5,4,2,squared_error,False,0.03655935751831532,0.060535768783758735,0.24018939395199745,0.09877234182903268
50,5,4,5,squared_error,True,0.03439075573120284,0.056257526582983455,0.29388746146978095,0.11914350881711988
50,5,4,5,squared_error,False,0.03655935751831532,0.060535768783758735,0.24018939395199745,0.09877234182903268
50,5,4,10,squared_error,True,0.03432604659269457,0.056298033189522576,0.29337904553847627,0.12192761599067845
50,5,4,10,squared_error,False,0.0366792992941523,0.060801751665854796,0.23685092780373196,0.11310441314326791
50,5,6,2,squared_error,True,0.03487748928496762,0.05708892797340395,0.28345218317041565,0.12318667959406655
50,5,6,2,squared_error,False,0.03865661761332233,0.06346594602717101,0.2034114725366759,0.11415079164616741
50,5,6,5,squared_error,True,0.03487748928496762,0.05708892797340395,0.28345218317041565,0.12318667959406655
50,5,6,5,squared_error,False,0.03865661761332233,0.06346594602717101,0.2034114725366759,0.11415079164616741
50,5,6,10,squared_error,True,0.03487748928496762,0.05708892797340395,0.28345218317041565,0.12318667959406655
50,5,6,10,squared_error,False,0.03865661761332233,0.06346594602717101,0.2034114725366759,0.11415079164616741
50,10,2,2,squared_error,True,0.02060025284884476,0.030565928672936272,0.6163538143479459,0.08806519214990492
50,10,2,2,squared_error,False,0.019800176256820054,0.05044473423151158,0.36684633137659184,0.0582012381481681
50,10,2,5,squared_error,True,0.021789282585149984,0.03247644666116499,0.5923740770840633,0.0933271035405485
50,10,2,5,squared_error,False,0.02461531453920725,0.05787942418784346,0.2735303234197375,0.06581706487444729
50,10,2,10,squared_error,True,0.028557140736545396,0.045132185138331476,0.43352643187333995,0.11339192128234998
50,10,2,10,squared_error,False,0.028202893384428017,0.06044505963988939,0.24132792363390598,0.09387017045641845
50,10,4,2,squared_error,True,0.027463556373261505,0.046162689993470715,0.42059211990786904,0.11233144514593149
50,10,4,2,squared_error,False,0.02795738149699473,0.05174314083025005,0.35054946880252824,0.08863100836315632
50,10,4,5,squared_error,True,0.027463556373261505,0.046162689993470715,0.42059211990786904,0.11233144514593149
50,10,4,5,squared_error,False,0.02795738149699473,0.05174314083025005,0.35054946880252824,0.08863100836315632
50,10,4,10,squared_error,True,0.029489829529580493,0.04902341724306466,0.38468589539098186,0.11556199702730803
50,10,4,10,squared_error,False,0.029010268445078174,0.05399170398729356,0.32232678047435404,0.103391498436936
50,10,6,2,squared_error,True,0.03118747333627368,0.05253884943172219,0.3405621861286794,0.11968110578426538
50,10,6,2,squared_error,False,0.03212462743467111,0.06401255297111565,0.1965507724631015,0.10804486834288185
50,10,6,5,squared_error,True,0.03118747333627368,0.05253884943172219,0.3405621861286794,0.11968110578426538
50,10,6,5,squared_error,False,0.03212462743467111,0.06401255297111565,0.1965507724631015,0.10804486834288185
50,10,6,10,squared_error,True,0.03118747333627368,0.05253884943172219,0.3405621861286794,0.11968110578426538
50,10,6,10,squared_error,False,0.03212462743467111,0.06401255297111565,0.1965507724631015,0.10804486834288185
50,20,2,2,squared_error,True,0.020615570342644576,0.030427408354400894,0.618092442753778,0.08754933963627952
50,20,2,2,squared_error,False,0.019602134885977684,0.05046741064208314,0.3665617099435855,0.05792411282221118
50,20,2,5,squared_error,True,0.021827261384903304,0.03248370748511664,0.5922829433435005,0.09323360853831454
50,20,2,5,squared_error,False,0.02441727316836488,0.05790210059841501,0.27324570198673137,0.06543582491582492
50,20,2,10,squared_error,True,0.028695833145092955,0.04533357867296722,0.43099865454961683,0.11298653818563272
50,20,2,10,squared_error,False,0.027883551673944695,0.06030962154294033,0.24302786574404012,0.09368985221457353
50,20,4,2,squared_error,True,0.027451351672749053,0.04617900253588081,0.42038737413551297,0.11234024792968164
50,20,4,2,squared_error,False,0.027494420184376516,0.0515853912340288,0.3525294521861845,0.08859384060747996
50,20,4,5,squared_error,True,0.027451351672749053,0.04617900253588081,0.42038737413551297,0.11234024792968164
50,20,4,5,squared_error,False,0.027494420184376516,0.0515853912340288,0.3525294521861845,0.08859384060747996
50,20,4,10,squared_error,True,0.029469613977954185,0.04902933973232224,0.38461155966778005,0.11568929085803359
50,20,4,10,squared_error,False,0.02861814653081029,0.053967464661167724,0.32263101873619315,0.10331221141942452
50,20,6,2,squared_error,True,0.031196862778833122,0.052563778457010824,0.34024929115446334,0.11969965824412161
50,20,6,2,squared_error,False,0.03212462743467111,0.06401255297111565,0.1965507724631015,0.10806297680851282
50,20,6,5,squared_error,True,0.031196862778833122,0.052563778457010824,0.34024929115446334,0.11969965824412161
50,20,6,5,squared_error,False,0.03212462743467111,0.06401255297111565,0.1965507724631015,0.10806297680851282
50,20,6,10,squared_error,True,0.031196862778833122,0.052563778457010824,0.34024929115446334,0.11969965824412161
50,20,6,10,squared_error,False,0.03212462743467111,0.06401255297111565,0.1965507724631015,0.10806297680851282
100,5,2,2,squared_error,True,0.03453704110927923,0.051910490649084276,0.348448988874295,0.10438286603090745
100,5,2,2,squared_error,False,0.04268204507816873,0.07213316146497827,0.09462550439157902,0.08380935714495027
100,5,2,5,squared_error,True,0.03526135155827501,0.0529882637410649,0.3349213928322714,0.10721902717136786
100,5,2,5,squared_error,False,0.04256210330233175,0.07186717858288219,0.09796397053984451,0.08880395890020776
100,5,2,10,squared_error,True,0.03705841065858287,0.055921512702215743,0.2981049169595863,0.12023412648151524
100,5,2,10,squared_error,False,0.04268204507816872,0.07213316146497827,0.09462550439157902,0.11077650970095528
100,5,4,2,squared_error,True,0.034896117147072164,0.05365396956336274,0.3265658312452596,0.11738726998663558
100,5,4,2,squared_error,False,0.03655935751831532,0.060535768783758735,0.24018939395199745,0.09877452563429842
100,5,4,5,squared_error,True,0.034896117147072164,0.05365396956336274,0.3265658312452596,0.11738726998663558
100,5,4,5,squared_error,False,0.03655935751831532,0.060535768783758735,0.24018939395199745,0.09877452563429842
100,5,4,10,squared_error,True,0.03540046047073863,0.05448142716379696,0.31618005315907083,0.11966112419289228
100,5,4,10,squared_error,False,0.0366792992941523,0.060801751665854796,0.23685092780373196,0.11310441314326788
100,5,6,2,squared_error,True,0.03538162482202967,0.05464500982048082,0.31412685651168226,0.12281477487196231
100,5,6,2,squared_error,False,0.038619465052152295,0.06340921583543398,0.20412351769990678,0.1141407739043464
100,5,6,5,squared_error,True,0.03538162482202967,0.05464500982048082,0.31412685651168226,0.12281477487196231
100,5,6,5,squared_error,False,0.038619465052152295,0.06340921583543398,0.20412351769990678,0.1141407739043464
100,5,6,10,squared_error,True,0.03538162482202967,0.05464500982048082,0.31412685651168226,0.12281477487196231
100,5,6,10,squared_error,False,0.038619465052152295,0.06340921583543398,0.20412351769990678,0.1141407739043464
100,10,2,2,squared_error,True,0.021438744174983607,0.02641812083595293,0.668414743773765,0.08806101065687186
100,10,2,2,squared_error,False,0.01980017625682006,0.05044473423151157,0.36684633137659195,0.05824814112012029
100,10,2,5,squared_error,True,0.022408580777846607,0.028023382428216687,0.6482664115102332,0.09260768342310613
100,10,2,5,squared_error,False,0.02468227232668906,0.058028807011715346,0.27165535501312965,0.0657870579575027
100,10,2,10,squared_error,True,0.030375835946066392,0.04199082515815072,0.47295499912061756,0.11198641219829604
100,10,2,10,squared_error,False,0.02817329610155563,0.06036892451131101,0.24228352854896573,0.09390005481128641
100,10,4,2,squared_error,True,0.028201288797423292,0.04254204692101851,0.4660363764595671,0.11102924379938975
100,10,4,2,squared_error,False,0.02789964253532563,0.0516732735328216,0.35142640345899023,0.08863993670985518
100,10,4,5,squared_error,True,0.028201288797423292,0.04254204692101851,0.4660363764595671,0.11102924379938975
100,10,4,5,squared_error,False,0.02789964253532563,0.0516732735328216,0.35142640345899023,0.08863993670985518
100,10,4,10,squared_error,True,0.030493000497004725,0.046084889230537496,0.421568630919837,0.11407018443492493
100,10,4,10,squared_error,False,0.028941855053520676,0.05393001823604012,0.32310102500756266,0.10335340584828603
100,10,6,2,squared_error,True,0.03153252476013508,0.049179214443469114,0.3827304173713214,0.11940603321629675
100,10,6,2,squared_error,False,0.03205864004990642,0.06391419036396709,0.19778536407152691,0.10789352714006524
100,10,6,5,squared_error,True,0.03153252476013508,0.049179214443469114,0.3827304173713214,0.11940603321629675
100,10,6,5,squared_error,False,0.03205864004990642,0.06391419036396709,0.19778536407152691,0.10789352714006524
100,10,6,10,squared_error,True,0.03153252476013508,0.049179214443469114,0.3827304173713214,0.11940603321629675
100,10,6,10,squared_error,False,0.03205864004990642,0.06391419036396709,0.19778536407152691,0.10789352714006524
100,20,2,2,squared_error,True,0.021240196622074353,0.026260950686808386,0.6703874542666433,0.08787393426274191
100,20,2,2,squared_error,False,0.01960213488597769,0.05046741064208312,0.36656170994358583,0.0579044676270906
100,20,2,5,squared_error,True,0.02219099720431598,0.02795074643378743,0.6491780972797712,0.09234340394360842
100,20,2,5,squared_error,False,0.02445075206210578,0.05797640700307293,0.272313050176228,0.0654809507092786
100,20,2,10,squared_error,True,0.030478216579073042,0.04216359899782092,0.4707864399618501,0.11173516271343278
100,20,2,10,squared_error,False,0.027963609898107727,0.06039018801552643,0.2420166411144915,0.09369285933495769
100,20,4,2,squared_error,True,0.02812448253100706,0.04253466068949824,0.46612908424474253,0.11075269220219977
100,20,4,2,squared_error,False,0.027496360989810772,0.05159068801552642,0.35246296999159654,0.08860536083709855
100,20,4,5,squared_error,True,0.02812448253100706,0.04253466068949824,0.46612908424474253,0.11075269220219977
100,20,4,5,squared_error,False,0.027496360989810772,0.05159068801552642,0.35246296999159654,0.08860536083709855
100,20,4,10,squared_error,True,0.03044137953182054,0.046077060415080286,0.42166689376735156,0.11409347414423147
100,20,4,10,squared_error,False,0.028590975254730717,0.053963552078279145,0.32268012725559436,0.10327140598806173
100,20,6,2,squared_error,True,0.03152912673383762,0.049190771083407143,0.38258536498705964,0.11940705866940282
100,20,6,2,squared_error,False,0.03205864004990642,0.06391419036396709,0.19778536407152691,0.10790367364416047
100,20,6,5,squared_error,True,0.03152912673383762,0.049190771083407143,0.38258536498705964,0.11940705866940282
