n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.01278103189947848,0.00021037561789234897,0.596337701624851,0.09029840524432295
50,5,2,2,squared_error,False,0.014020410809730138,0.00025533632847482183,0.5100684659019743,0.09323676426415625
50,5,2,5,squared_error,True,0.012781031899478483,0.00021037561789234903,0.5963377016248508,0.09000227826237281
50,5,2,5,squared_error,False,0.014020410809730138,0.00025533632847482183,0.5100684659019743,0.09380941824562929
50,5,2,10,squared_error,True,0.01278103189947848,0.00021037561789234903,0.5963377016248508,0.09031479271571831
50,5,2,10,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.10010715147917822
50,5,4,2,squared_error,True,0.01265991239003831,0.00021139559307367558,0.5943806044569149,0.08992296088524376
50,5,4,2,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.08961444207948041
50,5,4,5,squared_error,True,0.01265991239003831,0.00021139559307367558,0.5943806044569149,0.08992296088524376
50,5,4,5,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.08961444207948041
50,5,4,10,squared_error,True,0.012659912390038308,0.0002113955930736755,0.5943806044569151,0.09039173322136243
50,5,4,10,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.09594466528524634
50,5,6,2,squared_error,True,0.012459109971433038,0.00020584721078582095,0.6050266706171361,0.08727594156555703
50,5,6,2,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.09609198708071484
50,5,6,5,squared_error,True,0.012459109971433038,0.00020584721078582095,0.6050266706171361,0.08727594156555703
50,5,6,5,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.09609198708071484
50,5,6,10,squared_error,True,0.012459109971433038,0.00020584721078582095,0.6050266706171361,0.08727594156555703
50,5,6,10,squared_error,False,0.014020410809730138,0.0002553363284748219,0.5100684659019742,0.09609198708071484
50,10,2,2,squared_error,True,0.0051438580806959806,7.132294019909466e-05,0.8631477247407437,0.09509442740728163
50,10,2,2,squared_error,False,0.004366343316234669,3.3266434272180184e-05,0.9361693838307559,0.09806650062237111
50,10,2,5,squared_error,True,0.004982566219818401,6.58938919570005e-05,0.8735648163854357,0.09431258021066347
50,10,2,5,squared_error,False,0.004368383764903123,3.3273775738237255e-05,0.9361552972503255,0.0978615118903284
50,10,2,10,squared_error,True,0.005094412648415785,6.346986024163595e-05,0.8782159742684704,0.09323338739366095
50,10,2,10,squared_error,False,0.004367537848099163,3.327027891683429e-05,0.9361620068442351,0.10125772971176177
50,10,4,2,squared_error,True,0.00466555573159761,3.742853560081169e-05,0.9281832711565896,0.09127182437010431
50,10,4,2,squared_error,False,0.00436270283244969,3.325428115017082e-05,0.9361927028693968,0.08977868428749754
50,10,4,5,squared_error,True,0.00466555573159761,3.742853560081169e-05,0.9281832711565896,0.09127182437010431
50,10,4,5,squared_error,False,0.00436270283244969,3.325428115017082e-05,0.9361927028693968,0.08977868428749754
50,10,4,10,squared_error,True,0.0048257983643541814,4.2658903281455456e-05,0.9181474016938265,0.09164034934927767
50,10,4,10,squared_error,False,0.004364731387614937,3.326081159686394e-05,0.9361801724481058,0.09922316364484858
50,10,6,2,squared_error,True,0.004477857732599592,3.4289672422650184e-05,0.9342060257774705,0.08717150400281728
50,10,6,2,squared_error,False,0.004365796257990529,3.326410319585254e-05,0.9361738566286854,0.09906133128325756
50,10,6,5,squared_error,True,0.004477857732599592,3.4289672422650184e-05,0.9342060257774705,0.08717150400281728
50,10,6,5,squared_error,False,0.004365796257990529,3.326410319585254e-05,0.9361738566286854,0.09906133128325756
50,10,6,10,squared_error,True,0.004477857732599592,3.4289672422650184e-05,0.9342060257774705,0.08717150400281728
50,10,6,10,squared_error,False,0.004365796257990529,3.326410319585254e-05,0.9361738566286854,0.09906133128325756
50,20,2,2,squared_error,True,0.0036943926552895703,4.994417722429882e-05,0.9041686409727738,0.09466187185994304
50,20,2,2,squared_error,False,0.0015161223337793312,5.191131411603549e-06,0.9900394158896894,0.09681522080901257
50,20,2,5,squared_error,True,0.0038215763315146882,5.4242627902271335e-05,0.8959209053392154,0.09404281316786672
50,20,2,5,squared_error,False,0.0015234452861596864,5.153694583697679e-06,0.9901112485295539,0.09798675210156085
50,20,2,10,squared_error,True,0.00397074765266567,5.105422603091589e-05,0.9020387132887733,0.09313804660877321
50,20,2,10,squared_error,False,0.0015539078774940193,5.233036676536075e-06,0.9899590093495867,0.10104041999672857
50,20,4,2,squared_error,True,0.0036265887072701036,2.4198796669634306e-05,0.9535680894038969,0.0910682126432824
50,20,4,2,squared_error,False,0.0015358559717034137,5.265753538246395e-06,0.9898962332364328,0.08932361867176494
50,20,4,5,squared_error,True,0.0036265887072701036,2.4198796669634306e-05,0.9535680894038969,0.0910682126432824
50,20,4,5,squared_error,False,0.0015358559717034137,5.265753538246395e-06,0.9898962332364328,0.08932361867176494
50,20,4,10,squared_error,True,0.003643366173734769,2.6528729628336933e-05,0.9490974853358382,0.09150264130475223
50,20,4,10,squared_error,False,0.0015538712048257018,5.2299569718677325e-06,0.9899649185926691,0.09915407214708823
50,20,6,2,squared_error,True,0.0035693622809107547,2.273674903042732e-05,0.9563734216771371,0.08686082210805429
50,20,6,2,squared_error,False,0.0015695674764428587,5.327877709950829e-06,0.9897770312766901,0.09851286400560547
50,20,6,5,squared_error,True,0.0035693622809107547,2.273674903042732e-05,0.9563734216771371,0.08686082210805429
50,20,6,5,squared_error,False,0.0015695674764428587,5.327877709950829e-06,0.9897770312766901,0.09851286400560547
50,20,6,10,squared_error,True,0.0035693622809107547,2.273674903042732e-05,0.9563734216771371,0.08686082210805429
50,20,6,10,squared_error,False,0.0015695674764428587,5.327877709950829e-06,0.9897770312766901,0.09851286400560547
100,5,2,2,squared_error,True,0.012841591195825685,0.00020914635253511713,0.5986963783782904,0.08885928097020886
100,5,2,2,squared_error,False,0.014020410809730157,0.0002553363284748226,0.5100684659019729,0.09297772981883985
100,5,2,5,squared_error,True,0.012841591195825685,0.0002091463525351171,0.5986963783782905,0.08886478532808303
100,5,2,5,squared_error,False,0.014020410809730157,0.0002553363284748226,0.5100684659019729,0.09380327759211811
100,5,2,10,squared_error,True,0.012841591195825685,0.00020914635253511713,0.5986963783782904,0.09013363231932561
100,5,2,10,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.10010101082566703
100,5,4,2,squared_error,True,0.012664844966829692,0.00020458104525500622,0.6074561502945464,0.08913530334734489
100,5,4,2,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.08969756956622732
100,5,4,5,squared_error,True,0.012664844966829692,0.00020458104525500622,0.6074561502945464,0.08913530334734489
100,5,4,5,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.08969756956622732
100,5,4,10,squared_error,True,0.01266484496682969,0.00020458104525500616,0.6074561502945464,0.0898198524802532
100,5,4,10,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.09602808202582261
100,5,6,2,squared_error,True,0.01252421489299238,0.00020325862040897636,0.609993578624525,0.08734371388434924
100,5,6,2,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.0961754038212911
100,5,6,5,squared_error,True,0.01252421489299238,0.00020325862040897636,0.609993578624525,0.08734371388434924
100,5,6,5,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.0961754038212911
100,5,6,10,squared_error,True,0.01252421489299238,0.00020325862040897636,0.609993578624525,0.08734371388434924
100,5,6,10,squared_error,False,0.01402041080973016,0.00025533632847482264,0.5100684659019727,0.0961754038212911
100,10,2,2,squared_error,True,0.004616631382470105,5.018551509254947e-05,0.9037055692558182,0.09429743506179807
100,10,2,2,squared_error,False,0.004367950363621308,3.3271748963149116e-05,0.9361591861643478,0.09735092193858877
100,10,2,5,squared_error,True,0.004509425857407337,4.824975892285699e-05,0.9074198389624522,0.09303870209670125
100,10,2,5,squared_error,False,0.004365063414399184,3.326211986002513e-05,0.9361776621927833,0.09821668189823955
100,10,2,10,squared_error,True,0.004604506185016941,4.870378654138216e-05,0.906548664660716,0.09260264429348579
100,10,2,10,squared_error,False,0.0043671432336887936,3.326896893979226e-05,0.9361645203880996,0.10137721664974238
100,10,4,2,squared_error,True,0.004236121571572894,3.0242520604885745e-05,0.9419715768474994,0.09034063720783146
100,10,4,2,squared_error,False,0.004365154025837368,3.3262428293985815e-05,0.9361770703791372,0.0893407574547359
100,10,4,5,squared_error,True,0.004236121571572894,3.0242520604885745e-05,0.9419715768474994,0.09034063720783146
100,10,4,5,squared_error,False,0.004365154025837368,3.3262428293985815e-05,0.9361770703791372,0.0893407574547359
100,10,4,10,squared_error,True,0.004349666602549961,3.340195700210133e-05,0.9359093469634131,0.09122740437602156
100,10,4,10,squared_error,False,0.004367472336768283,3.32699489537155e-05,0.9361626399673709,0.09913067137898364
100,10,6,2,squared_error,True,0.004162752487488341,2.7953947175449585e-05,0.9463628215163528,0.0873571158616589
100,10,6,2,squared_error,False,0.004365487486308321,3.326304293220554e-05,0.9361758910301284,0.0989989539057418
100,10,6,5,squared_error,True,0.004162752487488341,2.7953947175449585e-05,0.9463628215163528,0.0873571158616589
100,10,6,5,squared_error,False,0.004365487486308321,3.326304293220554e-05,0.9361758910301284,0.0989989539057418
100,10,6,10,squared_error,True,0.004162752487488341,2.7953947175449585e-05,0.9463628215163528,0.0873571158616589
100,10,6,10,squared_error,False,0.004365487486308321,3.326304293220554e-05,0.9361758910301284,0.0989989539057418
100,20,2,2,squared_error,True,0.003143763248997017,3.275939844522431e-05,0.9371422686608425,0.09360963092410805
100,20,2,2,squared_error,False,0.0015194231643028341,5.212653185561792e-06,0.9899981205683582,0.09656188707505767
100,20,2,5,squared_error,True,0.0032744928430916568,3.450285080495806e-05,0.933796985620496,0.0929982505004798
100,20,2,5,squared_error,False,0.0015212965155017508,5.1471442117520295e-06,0.9901238171828098,0.097923917218292
