n_estimators,max_depth,min_samples_leaf,min_samples_split,criterion,bootstrap,mae,mse,r2,cv_mae
50,5,2,2,squared_error,True,0.036198971233611064,0.055145270165071876,0.30784787264408997,0.10532901130433962
50,5,2,2,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.08414576030919246
50,5,2,5,squared_error,True,0.03649765548169166,0.05548130334082644,0.30363017497456257,0.1080157368457969
50,5,2,5,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.08898808519741899
50,5,2,10,squared_error,True,0.036889412535894124,0.055638865594103644,0.301652543013193,0.12142731211349825
50,5,2,10,squared_error,False,0.035061086543997116,0.059434428125515866,0.2540127967073834,0.11029698402172763
50,5,4,2,squared_error,True,0.033813760638259374,0.05633122201681706,0.29296247821824073,0.11807835425354436
50,5,4,2,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11150338304276619
50,5,4,5,squared_error,True,0.033813760638259374,0.05633122201681706,0.29296247821824073,0.11807835425354436
50,5,4,5,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11150338304276619
50,5,4,10,squared_error,True,0.03406895915153649,0.056749059169770556,0.2877180234637462,0.12076123626367581
50,5,4,10,squared_error,False,0.0341898501005134,0.05888932367881353,0.26085463828848,0.11276901951679612
50,5,6,2,squared_error,True,0.0348013132562587,0.05899784373979849,0.25949255608547883,0.12314445928092685
50,5,6,2,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11496383577012123
50,5,6,5,squared_error,True,0.0348013132562587,0.05899784373979849,0.25949255608547883,0.12314445928092685
50,5,6,5,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11496383577012123
50,5,6,10,squared_error,True,0.0348013132562587,0.05899784373979849,0.25949255608547883,0.12314445928092685
50,5,6,10,squared_error,False,0.034201278607802386,0.058889902343205444,0.26084737522151713,0.11496383577012123
50,10,2,2,squared_error,True,0.025049145404318504,0.034383862579236014,0.5684332752438797,0.0897157618957109
50,10,2,2,squared_error,False,0.014750121300339643,0.03429403202328965,0.569560777388918,0.05701668033852665
50,10,2,5,squared_error,True,0.025964360562765104,0.038285292253865254,0.5194647446529372,0.09489747708994481
50,10,2,5,squared_error,False,0.01923047064531781,0.04102800873362445,0.4850397243290393,0.06294282505750241
50,10,2,10,squared_error,True,0.031533654534118785,0.04739577446974653,0.4051151435342101,0.11311295495229526
