CD_OSCAR,STATION_NAME,CD_STATION,TP_STATION,START_DATE_OPERATION,END_DATE_OPERATION,LONGITUDE,LATITUDE,HEIGHT,CD_SITUATION,CD_WSI,IS_CAPITAL,CD_DISTRICT,INSTITUTE,STATE
0-2000-0-81758,FORTALEZA,A305,Automatic,2003-02-18 00:00:00+00:00,,-38.53777777,-3.81583333,29.55,Operative,0-76-0-2304400000000057,False, 03,INMET,CE
0-2000-0-86925,FOZ DO IGUACU,A846,Automatic,2008-02-15 00:00:00+00:00,,-54.48305554,-25.60194444,235.09,Operative,0-76-0-4108304000000288,False, 08,INMET,PR
0-2000-0-86818,FRANCA,A708,Automatic,2002-12-12 00:00:00+00:00,,-47.38249999,-20.58444444,1002.74,Operative,0-76-0-3516200000000031,False, 07,INMET,SP
0-2000-0-86951,FREDERICO WESTPHALEN,A854,Automatic,2007-12-14 00:00:00+00:00,,-53.42944443,-27.39555555,489.42,Operative,0-76-0-4308508000000281,False, 08,INMET,RS
0-2000-0-86717,GAMA (PONTE ALTA),A046,Automatic,2014-10-01 00:00:00+00:00,,-48.13749999,-15.93527777,990.0,Operative,0-76-0-5300108000000496,False, 10,INMET,DF
0-2000-0-81955,GARANHUNS,A322,Automatic,2007-07-08 00:00:00+00:00,,-36.49333333,-8.91083333,827.78,Operative,0-76-0-2606002000000222,False, 03,INMET,PE
0-2000-0-86666,GAUCHA DO NORTE,A930,Automatic,2008-06-04 00:00:00+00:00,,-53.2575,-13.18472221,375.87,Operative,0-76-0-5103858000000377,False, 09,INMET,MT
0-2000-0-86941,GENERAL CARNEIRO,A875,Automatic,2008-04-30 00:00:00+00:00,,-51.35361111,-26.3986111,1009.01,Operative,0-76-0-4108502000000356,False, 08,INMET,PR
0-2000-0-81986,GILBUES,A364,Automatic,2009-05-16 00:00:00+00:00,,-45.34583333,-9.87527777,425.1,Operative,0-76-0-2204402000000447,False, 03,INMET,PI
0-2000-0-86713,GOIANESIA,A022,Automatic,2007-06-02 00:00:00+00:00,,-48.98999999,-15.22027777,667.01,Operative,0-76-0-5208608000000206,False, 10,INMET,GO
0-2000-0-86734,GOIANIA,A002,Automatic,2001-05-29 00:00:00+00:00,,-49.22027777,-16.64277777,727.3,Operative,0-76-0-5208707000000007,False, 10,INMET,GO
0-2000-0-86712,GOIAS,A014,Automatic,2007-07-18 00:00:00+00:00,,-50.14138888,-15.93972221,512.86,Operative,0-76-0-5208905000000232,False, 10,INMET,GO
0-2000-0-86917,GOIOERE,A825,Automatic,2006-10-19 00:00:00+00:00,,-53.04888888,-24.18388888,481.0,Operative,0-76-0-4108601000000119,False, 08,INMET,PR
0-2000-0-86783,GOVERNADOR VALADARES,A532,Automatic,2007-05-27 00:00:00+00:00,,-41.977007,-18.830354,198.24,Operative,0-76-0-3127701000000197,False, 05,INMET,MG
0-2000-0-81823,GRAJAU,A207,Automatic,2008-09-10 00:00:00+00:00,,-46.16222222,-5.81611111,232.29,Operative,0-76-0-2104800000000425,False, 02,INMET,MA
0-2000-0-86694,GUANAMBI,A426,Automatic,2008-04-24 00:00:00+00:00,,-42.74972221,-14.20805555,552.23,Operative,0-76-0-2911709000000347,False, 04,INMET,BA
0-2000-0-86782,GUANHAES,A533,Automatic,2007-06-02 00:00:00+00:00,,-42.94305555,-18.78694444,852.68,Operative,0-76-0-3128006000000207,False, 05,INMET,MG
0-2000-0-81797,GUARAMIRANGA,A314,Automatic,2007-05-26 00:00:00+00:00,,-38.95888888,-4.22916666,865.53,Down,0-76-0-2305100000000194,False, 03,INMET,CE
0-2000-0-81979,GUARANTA DO NORTE,A906,Automatic,2002-12-20 00:00:00+00:00,,-54.89777777,-9.9525,283.58,Operative,0-76-0-5104104000000040,False, 09,INMET,MT
0-2000-0-86757,GUARDA-MOR,A546,Automatic,2007-07-11 00:00:00+00:00,,-47.19916666,-17.56138888,997.01,Operative,0-76-0-3128600000000225,False, 05,INMET,MG
0-2000-0-86729,GUIRATINGA,A932,Automatic,2008-01-24 00:00:00+00:00,,-53.76611111,-16.34166666,525.43,Operative,0-76-0-5104203000000282,False, 09,INMET,MT
0-2000-0-86630,GURUPI,A019,Automatic,2006-12-20 00:00:00+00:00,,-49.05166666,-11.74499999,274.0,Operative,0-76-0-1709500000000161,False, 10,INMET,TO
0-2000-0-81890,HUMAITA,A112,Automatic,2008-04-25 00:00:00+00:00,,-63.07138888,-7.5525,53.56,Operative,0-76-0-1301704000000349,False, 01,INMET,AM
