timestamp,temperature_C,humidity_percent,pressure_hPa,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2019-01-01 09:00:00,21.6,82,919.2,0.0,919.2,918.1,26.1,18.5,21.8,21.2,18.7,18.2,84,81,46,5.5,1.9
2019-01-01 10:00:00,23.0,79,920.1,0.0,920.1,919.2,441.7,19.1,23.0,21.6,19.4,18.5,83,79,3,5.9,2.5
2019-01-01 11:00:00,23.2,79,920.8,0.0,920.8,920.1,1205.5,19.4,24.1,22.9,20.1,19.0,80,77,322,6.7,2.7
2019-01-01 12:00:00,24.2,73,921.3,0.0,921.3,920.8,1563.5,19.2,24.6,22.8,20.5,18.6,81,71,316,7.5,3.5
2019-01-01 13:00:00,20.7,87,921.8,1.8,921.8,921.3,839.6,18.6,24.6,20.7,20.0,18.5,88,73,38,7.5,2.9
2019-01-01 14:00:00,22.7,86,921.7,0.6,921.8,921.6,1702.8,20.3,23.7,20.7,21.0,18.6,90,83,325,5.4,1.9
2019-01-01 15:00:00,21.6,88,921.5,0.0,921.7,921.5,1113.4,19.5,23.7,21.6,21.0,19.4,88,81,305,6.8,1.9
2019-01-01 16:00:00,25.7,71,920.2,0.2,921.5,920.2,1617.0,20.1,25.7,21.6,20.8,19.6,89,71,303,3.2,1.4
2019-01-01 17:00:00,26.8,66,919.0,0.0,920.2,919.0,2619.1,20.0,27.2,25.8,21.1,19.6,72,65,306,4.8,1.9
2019-01-01 18:00:00,28.9,60,918.2,0.0,919.0,918.2,2723.4,20.3,29.1,26.6,21.0,19.7,68,59,348,5.0,1.8
