timestamp,temperature_C,humidity_percent,pressure_hPa,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2010-01-01 09:00:00,20.2,85,915.6,0.0,915.6,915.1,137.9,17.6,20.2,19.6,17.7,17.3,87,85,118,6.4,3.2
2010-01-01 10:00:00,22.6,76,916.1,0.0,916.1,915.6,891.1,18.1,22.7,20.2,18.5,17.6,85,76,111,6.6,3.1
2010-01-01 11:00:00,24.2,69,916.7,0.0,916.7,916.1,1628.1,18.2,24.4,22.5,19.1,17.9,76,69,107,6.4,3.2
2010-01-01 12:00:00,25.2,66,916.9,0.0,916.9,916.7,2283.6,18.3,25.7,24.1,19.1,17.5,71,63,119,7.1,4.1
2010-01-01 13:00:00,26.5,65,917.0,0.0,917.0,916.9,2757.6,19.3,26.6,24.6,19.6,17.4,67,62,112,8.1,4.0
2010-01-01 14:00:00,26.8,64,916.6,0.0,917.1,916.6,3089.4,19.4,27.6,26.2,20.2,18.5,66,61,93,8.2,3.5
2010-01-01 15:00:00,27.2,65,916.1,0.0,916.6,916.1,3400.1,20.1,28.1,26.6,20.6,18.7,66,59,101,8.5,3.7
2010-01-01 16:00:00,28.7,58,915.4,0.0,916.1,915.4,3467.2,19.5,28.7,26.8,20.5,18.6,65,57,91,8.2,3.7
2010-01-01 17:00:00,27.9,62,914.8,0.0,915.4,914.8,3008.8,20.0,29.5,27.2,20.9,18.8,63,55,87,7.4,3.8
2010-01-01 18:00:00,27.2,63,914.0,0.0,914.8,914.0,3024.6,19.4,29.5,27.2,20.7,18.5,63,55,84,8.2,4.8
